precinto,unidad,colegio
1,1,1
1,1,2
1,2,1
1,2,2
1,2,3
1,2,4
1,3,1
1,3,2
1,3,3
1,3,4
1,4,1
1,4,2
1,5,1
1,5,2
1,5,3
1,5,4
1,5,5
1,5,6
1,5,7
1,6,1
1,6,2
1,6,3
1,7,1
1,7,2
1,7,3
1,7,4
1,7,5
1,7,6
1,7,7
1,7,8
1,8,1
1,8,2
1,8,3
1,8,4
1,9,1
1,9,2
1,9,3
1,9,4
1,10,1
1,10,2
1,10,3
1,10,4
1,10,5
1,11,1
1,11,2
1,11,3
1,12,1
1,12,2
1,13,1
1,13,2
1,13,3
1,14,1
1,14,2
1,14,3
1,14,4
1,14,5
1,15,1
1,15,2
1,15,3
1,15,4
1,15,5
1,16,1
1,16,2
1,16,3
1,17,1
1,17,2
1,17,3
1,17,4
1,18,1
1,18,2
1,18,3
1,19,1
1,19,2
1,19,3
1,19,4
1,20,1
1,20,2
1,20,3
1,21,1
1,21,2
1,21,3
1,22,1
1,22,2
1,22,3
1,23,1
1,23,2
1,23,3
1,24,1
1,24,2
1,24,3
1,25,1
1,25,2
1,25,3
1,25,4
1,26,1
1,26,2
1,26,3
1,26,4
1,74,1
1,74,2
1,74,3
1,74,4
1,74,5
1,74,6
1,74,7
1,74,8
1,74,9
1,75,1
1,75,2
1,77,1
1,77,2
1,77,3
1,77,4
1,77,5
1,78,1
1,78,2
1,78,3
1,78,4
1,78,5
1,79,1
1,79,2
2,1,1
2,1,2
2,1,3
2,1,4
2,1,5
2,2,1
2,3,1
2,3,2
2,3,3
2,4,1
2,4,2
2,4,3
2,4,4
2,4,5
2,5,1
2,5,2
2,5,3
2,5,4
2,5,5
2,5,6
2,6,1
2,6,2
2,6,3
2,6,4
2,7,1
2,7,2
2,7,3
2,8,1
2,8,2
2,8,3
2,8,4
2,8,5
2,8,6
